UncmicMRedA02C15_FD	YuBhay.Mush04.RedA.02.C15
UncmicMRedA02C16_FD	YuBhay.Mush04.RedA.02.C16
UncmicMRedA02C18_FD	YuBhay.Mush04.RedA.02.C18
UncmicMRedA02C21_FD	YuBhay.Mush04.RedA.02.C21
UncmicMuRedA02C9_FD	YuBhay.Mush04.RedA.02.C9
UncmicMRedA02D15_FD	YuBhay.Mush04.RedA.02.D15
UncmicMRedA02D18_FD	YuBhay.Mush04.RedA.02.D18
UncmicMRedA02D20_FD	YuBhay.Mush04.RedA.02.D20
UncmicMRedA02D21_FD	YuBhay.Mush04.RedA.02.D21
UncmicMuRedA02D6_FD	YuBhay.Mush04.RedA.02.D6
UncmicMRedA02E21_FD	YuBhay.Mush04.RedA.02.E21
UncmicMRedA02G15_FD	YuBhay.Mush04.RedA.02.G15
UncmicMRedA02G20_FD	YuBhay.Mush04.RedA.02.G20
UncmicMRedA02H11_FD	YuBhay.Mush04.RedA.02.H11
UncmicMRedA02H13_FD	YuBhay.Mush04.RedA.02.H13
UncmicMRedA02H15_FD	YuBhay.Mush04.RedA.02.H15
UncmicMRedA02H19_FD	YuBhay.Mush04.RedA.02.H19
UncmicMRedA02H20_FD	YuBhay.Mush04.RedA.02.H20
UncmicMRedA02H22_FD	YuBhay.Mush04.RedA.02.H22
UncmicMRedA02I10_FD	YuBhay.Mush04.RedA.02.I10
UncmicMRedA02I15_FD	YuBhay.Mush04.RedA.02.I15
UncmicMRedA02I20_FD	YuBhay.Mush04.RedA.02.I20
UncmicMRedA02I21_FD	YuBhay.Mush04.RedA.02.I21
UncmicMRedA02I22_FD	YuBhay.Mush04.RedA.02.I22
UncmicMRedA02J11_FD	YuBhay.Mush04.RedA.02.J11
UncmicMRedA02J13_FD	YuBhay.Mush04.RedA.02.J13
UncmicMRedA02J14_FD	YuBhay.Mush04.RedA.02.J14
UncmicMRedA02J15_FD	YuBhay.Mush04.RedA.02.J15
UncmicMRedA02J16_FD	YuBhay.Mush04.RedA.02.J16
UncmicMRedA02J21_FD	YuBhay.Mush04.RedA.02.J21
UncmicMRedA02J22_FD	YuBhay.Mush04.RedA.02.J22
UncmicMuRedA02J6_FD	YuBhay.Mush04.RedA.02.J6
UncmicMRedA02K11_FD	YuBhay.Mush04.RedA.02.K11
UncmicMRedA02K13_FD	YuBhay.Mush04.RedA.02.K13
UncmicMRedA02K16_FD	YuBhay.Mush04.RedA.02.K16
UncmicMRedA02K18_FD	YuBhay.Mush04.RedA.02.K18
UncmicMRedA02K20_FD	YuBhay.Mush04.RedA.02.K20
UncmicMuRedA02K8_FD	YuBhay.Mush04.RedA.02.K8
UncmicMuRedA02K9_FD	YuBhay.Mush04.RedA.02.K9
UncmicMRedA02L13_FD	YuBhay.Mush04.RedA.02.L13
UncmicMRedA02L18_FD	YuBhay.Mush04.RedA.02.L18
UncmicMRedA02M11_FD	YuBhay.Mush04.RedA.02.M11
UncmicMRedA02M18_FD	YuBhay.Mush04.RedA.02.M18
UncmicMRedA02N12_FD	YuBhay.Mush04.RedA.02.N12
UncmicMRedA02N15_FD	YuBhay.Mush04.RedA.02.N15
UncmicMRedA02N18_FD	YuBhay.Mush04.RedA.02.N18
UncmicMRedA02N20_FD	YuBhay.Mush04.RedA.02.N20
UncmicMRedA02N21_FD	YuBhay.Mush04.RedA.02.N21
UncmicMRedA02C19_2_FD	YuBhay.Mush05.RedA.02.C19
UncmicMRedA02D14_2_FD	YuBhay.Mush05.RedA.02.D14
UncmicMRedA02D15_3_FD	YuBhay.Mush05.RedA.02.D15
UncmicMRedA02D18_3_FD	YuBhay.Mush05.RedA.02.D18
UncmicMRedA02D19_2_FD	YuBhay.Mush05.RedA.02.D19
