	osa_location	osbp_location	A_pS_mean	A_pS_std	A_pS_min	A_pS_max	Bp_pS_mean	Bp_pS_std	Bp_pS_min	Bp_pS_max	C_pS_mean	C_pS_std	C_pS_min	C_pS_max	A-Bp_pS_mean	A-Bp_pS_std	A-Bp_pS_min	A-Bp_pS_max	A-C_pS_mean	A-C_pS_std	A-C_pS_min	A-C_pS_max	Bp-C_pS_mean	Bp-C_pS_std	Bp-C_pS_min	Bp-C_pS_max	A_pN_mean	A_pN_std	A_pN_min	A_pN_max	Bp_pN_mean	Bp_pN_std	Bp_pN_min	Bp_pN_max	C_pN_mean	C_pN_std	C_pN_min	C_pN_max	A-Bp_pN_mean	A-Bp_pN_std	A-Bp_pN_min	A-Bp_pN_max	A-C_pN_mean	A-C_pN_std	A-C_pN_min	A-C_pN_max	Bp-C_pN_mean	Bp-C_pN_std	Bp-C_pN_min	Bp-C_pN_max
YSG_0005d	0.1484050265060241	1.9541430774983004	0.036609892084188314	0.05262174555134265	0.0	0.2275774493204592	0.02972356202746699	0.02591217420466885	0.0	0.1314102564102563					0.3440149267331418	0.021621714735868148	0.2762286339602468	0.39447501387412803									0.00670711467650558	0.01239022889049456	0.0	0.048260218097061464	0.004352092666129471	0.0031324425194951926	0.0	0.018122448979591824					0.06141427417091008	0.0037840344437619325	0.04644255266264832	0.06902507855813292								
YSG_0005e	1.6243788275387263	1.8619762868796736	0.01979448101993249	0.03198892983057097	0.0	0.10296872073421987	0.049651123236067685	0.023965616372882616	0.0	0.13043708049257427					0.32877759299671466	0.024599811724757555	0.22524052065647973	0.3636716346025205									0.004249480402661418	0.007555531900954136	0.0	0.03101798383105097	0.009519806495555434	0.0056080479914932015	0.0	0.03262927415504665					0.1077363305395695	0.006871964644642105	0.08256121549209788	0.12192137493295183								
YSG_0005f	1.6415413135972463	1.965534478585996	0.0020192678226367477	0.0023193729915852337	0.0	0.011846001974333666	0.012266860843563156	0.019486989025732884	0.0	0.10156250000000001					0.3043615757928517	0.004478030760677317	0.28649044337886664	0.32343529411764715	0.2831881808118308	0.0017210449469441417	0.28130988374568827	0.2888943248532289	0.3510441666586914	0.00444705591294488	0.34246454617654454	0.3774608936133438	0.001676531255245559	0.001653449043294519	0.0	0.007299270072992694	0.004053505948365202	0.004907317747440315	0.0	0.027614435604750364					0.09326665895423801	0.00239791217853488	0.09021552546252139	0.10330622074421107	0.07971520677693412	0.0011641767432975982	0.07704515621871356	0.08326824317805692	0.10695495373454035	0.0016926879985282373	0.10425506314601789	0.1130794267255329
YSG_0005ia	1.033787395524957	2.7246160237933377	0.015370952356342121	0.021333365783929893	0.0	0.10589096996965569	0.03886499518524726	0.01896923114270122	0.0	0.11320094479923007					0.32722810946999276	0.009329520670009485	0.304856048891834	0.3623572407492004	0.3511688725344166	0.016707032916303398	0.2696654358285776	0.369625004044391	0.4228588145741004	0.006564008791823131	0.4102484718583787	0.4373499259908994	0.0014648568413225848	0.005473587314288555	0.0	0.02563579213781276	0.0067982335951123135	0.004034755152594356	0.0	0.023159350155547848					0.06996281741888816	0.002532373572326648	0.06516673489309434	0.08399509219181338	0.0993104812815693	0.003774595135580468	0.07745154480905765	0.10204000625376163	0.10889365306042315	0.0018014592302795028	0.10477567230338239	0.11229403077593564
YSG_0005iba	0.4744922616179002	0.2464684962610469	0.019215516524741936	0.02889658266358172	0.0	0.1144584186409279	0.029281282895356725	0.020613784033263777	0.0	0.150319488817891					0.3118447767928776	0.00751660970435007	0.26853526220614793	0.32964185037477683	0.2610041969087199	0.02122887943756934	0.1978316326530609	0.2707100450746634	0.3315217315794367	0.014523519225505925	0.2363512781268712	0.3479183477260623	0.005642772020857638	0.008991059830674745	0.0	0.03534003421727977	0.005111287264814342	0.004585410715521307	0.0	0.034717265082415676					0.0726212412020488	0.002985036439721314	0.05765677518486506	0.08309674964928555	0.06364289786723154	0.006887336081183603	0.03629756306113727	0.06663116660545972	0.08298569646327308	0.0037136179192180257	0.05658018630392769	0.08880287855368608
YSG_0005ibbb	1.8767683283993115	1.3472920740992522	0.09545343723213877	0.06283941059761561	0.0	0.22295293359123136	0.02436018015527508	0.011978478319578763	0.0	0.09758454106280186					0.3950475545741514	0.011247029160484952	0.36395395200474734	0.4303867698052811	0.1646283299144462	0.05833950720552737	0.042737597130902534	0.23764563106796097	0.4119986985757019	0.0056738695343952405	0.39732043700774905	0.4351196633439908	0.023452636956790687	0.0160744967173981	0.0	0.05892238240862101	0.004897487985386639	0.007323000429304407	0.0	0.051422436929683374					0.09118528255024709	0.005249397207384804	0.08540275540682135	0.12994783223790873	0.04767956029291489	0.013858371293481322	0.014859602377536403	0.06451060358890709	0.11106841376005215	0.0033761432974411666	0.10869177514214588	0.13669368925871822
YSG_0005j	1.454773082960413	1.6465752481305234	0.10077469513929546	0.04354533415527831	0.0	0.18459477223317633	0.06924168044701653	0.03511716859781068	0.0	0.16623478883321374					0.14206947059423986	0.034433678295854246	0.030485359005214548	0.24155823618233974									0.03666007777252467	0.017771718771613754	0.0	0.0852500532216861	0.01725110140397596	0.009309745696715572	0.0	0.056406179009541174					0.0454671324920344	0.016210818036103896	0.0053905639940552705	0.10434920451925302								
YSG_0009c	1.297282034423408	0.9661979286199864	0.01231148045552477	0.008705531316547211	0.0	0.018467220683287155	0.006572213000419423	0.005216138117898638	0.0	0.02218114602587799					0.01125194947198059	0.005301061200362593	0.0	0.024007386888273304	0.008005875830413334	0.0034797987933518184	0.005545286506469497	0.012927054478301007	0.0035781067915423414	0.0037944657228862894	0.0	0.011090573012938995	0.0007340122947059363	0.0005190250710608662	0.0	0.0011010184420589045	0.0007920294584198279	0.0008912020195174182	0.0	0.003911707180776755					0.0023930533941205387	0.0008521998740805515	0.0	0.004957312035251998	0.0020182308334347047	0.0005192393081567913	0.0016510731975784264	0.0027525461051472622	0.00041666199162253986	0.0006494064248138367	0.0	0.0022026431718061685
YSG_0009fb	1.8979690464716008	1.6103298810333109	0.0007117437722419912	0.0017738760294905816	0.0	0.010676156583629887	0.023417832009664987	0.01700941169324875	0.0	0.09759220253582779					0.31506496060548717	0.008144807279857207	0.2880705989271166	0.3408787265717448	0.3296998667841507	0.001314550286133364	0.3243910205381308	0.3351725441808629	0.3508454340803036	0.006226148366874865	0.33561811618652315	0.3657633164553578	3.0432136335970785e-05	0.00013265060692454805	0.0	0.0006086427267194155	0.005556836410379097	0.004121435576885704	0.0	0.018503902481803017					0.06397845364961867	0.0016096853418209448	0.05927996389628912	0.06759316478142877	0.08302715793528154	0.00010393301772569832	0.0823815403611668	0.08309224435295423	0.09866823637223096	0.0023740973928439773	0.09425189064963521	0.10607793674788141
YSG_0009fcb	1.7515831359724614	1.980032625424881	0.058045210430384575	0.04405007235219392	0.0	0.16444394213381544	0.0622144596456118	0.036377245931437055	0.0	0.12651002256737018					0.07223174067201149	0.038485346394181226	0.010752688172043001	0.1876658476658475									0.01438384190386901	0.010024895169388252	0.0	0.03714129543591147	0.014259643815001466	0.007207280669285188	0.0	0.03532388355433623					0.01917894081801976	0.008150160663301275	0.0010940919037199126	0.039901612462421444								
