og_id	x_start	x_end	num_snps	haplotype_frequencies	db	pi1	pi2	d1A	d1Bp	d1C	d1_closest	d2A	d2Bp	d2C	d2_closest	other_species_hits	donor_species
YSG_0005a	95	123	7	64;13	0.08974358974359083	0.0	0.0	0.07142857142857142			0.07142857142857142	0.25			0.25	;	;
YSG_0009b	755	778	15	37;12	0.5918918918918892	0.05621621621621617	0.13333333333333336									;	;
YSG_0009fb	410	431	7	72;6	0.2258064516129014	0.0	0.0	0.2857142857142857		0.3333333333333333	0.2857142857142857	0.14285714285714285		0.38095238095238093	0.14285714285714285	;	;
YSG_0009fcb	59	108	11	62;22	0.2121588089329987	0.0	0.0012406947890818841	0.02040816326530612			0.0	0.24489795918367346			0.0	Ga0393407_052_1969_2766,Ga0393427_19_6874_7671,Ga0393389_042_7714_8511,Ga0374780_026_10222_11019,Ga0393447_002_27470_28267,Ga0374705_001_72325_73122,Ga0393410_08_25686_26483,Ga0393405_038_6753_7550,Ga0393515_003_1593_2390,Ga0374767_003_11261_12058,Ga0374743_06_15810_16607,Ga0393430_04_25373_26170,Ga0393411_07_21176_21973,Ga0393393_015_7918_8715,Ga0393429_002_31203_32000,Ga0393435_030_7157_7954,Ga0393404_001_6582_7379,Ga0393412_37_4712_5509,Ga0393448_006_11006_11803,Ga0374776_046_7347_8144,Ga0393518_15_4141_4938,Ga0393473_27_8118_8915,Ga0374771_002_36141_36938,Ga0393440_011_22691_23488,Ga0393453_003_27164_27961,Ga0393483_15_2939_3736,Ga0393425_001_34889_35686,Ga0393397_006_16937_17734,Ga0374808_05_6340_7137,Ga0393431_018_6994_7791,Ga0393406_05_7237_8034,Ga0393432_001_18066_18863,Ga0374735_06_6692_7489,Ga0374816_051_3287_4084,Ga0374741_060_1492_2289,Ga0393402_01_3682_4479,Ga0374819_009_16382_17179,Ga0393426_003_27660_28457,Ga0374815_004_20983_21780,Ga0393392_002_17387_18184,Ga0374723_23_4062_4877;Ga0374799_01_18053_18850	A;A
YSG_0009fcb	425	450	6	74;10	0.13043478260869776	0.0	0.0	0.0			0.0	0.24			0.0	Ga0393407_052_1969_2766,Ga0393427_19_6874_7671,Ga0393389_042_7714_8511,Ga0374780_026_10222_11019,Ga0393447_002_27470_28267,Ga0374705_001_72325_73122,Ga0393410_08_25686_26483,Ga0393405_038_6753_7550,Ga0393515_003_1593_2390,Ga0374767_003_11261_12058,Ga0374743_06_15810_16607,Ga0393430_04_25373_26170,Ga0393411_07_21176_21973,Ga0393393_015_7918_8715,Ga0393429_002_31203_32000,Ga0393435_030_7157_7954,Ga0393404_001_6582_7379,Ga0393412_37_4712_5509,Ga0393448_006_11006_11803,Ga0393518_15_4141_4938,Ga0393473_27_8118_8915,Ga0374799_01_18053_18850,Ga0393425_001_34889_35686,Ga0393397_006_16937_17734,Ga0374808_05_6340_7137,Ga0393431_018_6994_7791,Ga0393406_05_7237_8034,Ga0393432_001_18066_18863,Ga0374735_06_6692_7489,Ga0374816_051_3287_4084,Ga0374741_060_1492_2289,Ga0393402_01_3682_4479,Ga0374819_009_16382_17179,Ga0393426_003_27660_28457,Ga0374815_004_20983_21780,Ga0393392_002_17387_18184,Ga0374723_23_4062_4877;Ga0393441_012_19113_19910	A;A
YSG_0010a	704	714	5	45;36	0.2292929292929336	0.0039485766758494	0.0	0.4			0.5	0.8			0.8	;	;
YSG_0010ca	684	699	6	46;14	0.10119047619047704	0.0023809523809523807	0.0	0.13333333333333333		0.13333333333333333	0.06666666666666667	0.3333333333333333		0.3333333333333333	0.26666666666666666	Ga0393407_050_5553_6272;	A;
YSG_0012a	332	360	9	86;5	0.20579710144927696	0.0	0.08695652173913043	0.32142857142857145			0.2857142857142857	0.10714285714285714			0.10714285714285714	;	;
YSG_0012a	577	594	5	69;22	0.1999999999999943	0.0	0.0	0.29411764705882354			0.35294117647058826	0.35294117647058826			0.35294117647058826	;	;
YSG_0012b	648	668	5	20;8	0.0714285714285713	0.0	0.0	0.25			0.25	0.1			0.15	;	;
YSG_0012ea	332	340	5	31;28	0.18518518518518814	0.0	0.0	0.375			0.5	0.375			0.375	;	;
YSG_0012ea	792	813	5	51;8	0.17338709677419453	0.0	0.0172811059907834	0.19047619047619047			0.23809523809523808	0.42857142857142855			0.42857142857142855	;	;
YSG_0012eba	686	700	5	46;7	0.09433962264150961	0.0	0.0	0.35714285714285715			0.35714285714285715	0.2857142857142857			0.2857142857142857	;	;
YSG_0013a	26	49	6	36;24	0.20689655172413635	0.0	0.0	0.08695652173913043		0.13043478260869565	0.08695652173913043	0.17391304347826086		0.13043478260869565	0.13043478260869565	;	;
YSG_0013a	215	232	8	52;8	0.3636363636363642	0.0	0.0	0.23529411764705882		0.4117647058823529	0.23529411764705882	0.47058823529411764		0.29411764705882354	0.29411764705882354	;	;
YSG_0013a	384	402	7	31;29	0.1794871794871817	0.0	0.0	0.1111111111111111		0.2777777777777778	0.1111111111111111	0.3333333333333333		0.3888888888888889	0.3333333333333333	;	;
