	1	2	3	4	n	L	fraction_polymorphic
YSG_0005d	119.0	24.0	0.0	0.0	79	143.0	0.16783216783216784
YSG_0005e	125.0	28.0	1.0	0.0	81	154.0	0.18831168831168832
YSG_0005f	111.0	27.0	0.0	0.0	88	138.0	0.1956521739130435
YSG_0005ia	112.0	21.0	0.0	0.0	92	133.0	0.15789473684210525
YSG_0005iba	156.0	44.0	2.0	0.0	81	202.0	0.22772277227722773
YSG_0005ibbb	186.0	27.0	2.0	0.0	67	215.0	0.13488372093023257
YSG_0005j	123.0	47.0	5.0	0.0	61	175.0	0.29714285714285715
YSG_0009c	122.0	13.0	0.0	0.0	78	135.0	0.0962962962962963
YSG_0009fb	127.0	22.0	1.0	0.0	78	150.0	0.15333333333333332
YSG_0009fcb	117.0	22.0	0.0	0.0	83	139.0	0.15827338129496402
YSG_0010a	111.0	41.0	2.0	0.0	81	154.0	0.2792207792207792
YSG_0013a	120.0	31.0	0.0	0.0	91	151.0	0.2052980132450331
YSG_0013d	120.0	17.0	0.0	0.0	81	137.0	0.12408759124087591
YSG_0013ea	138.0	32.0	0.0	0.0	59	170.0	0.18823529411764706
YSG_0013ebb	137.0	44.0	1.0	0.0	81	182.0	0.24725274725274726
YSG_0014a	140.0	52.0	1.0	0.0	60	193.0	0.27461139896373055
YSG_0014g	138.0	43.0	1.0	0.0	68	182.0	0.24175824175824176
YSG_0014hb	166.0	16.0	0.0	0.0	71	182.0	0.08791208791208792
YSG_0014hc	122.0	37.0	1.0	0.0	64	160.0	0.2375
YSG_0014i	167.0	28.0	1.0	1.0	78	197.0	0.15228426395939088
YSG_0016a	144.0	19.0	1.0	0.0	67	164.0	0.12195121951219512
YSG_0016b	152.0	35.0	0.0	0.0	60	187.0	0.18716577540106952
YSG_0016c	90.0	18.0	1.0	0.0	66	109.0	0.1743119266055046
YSG_0016gb	137.0	19.0	0.0	0.0	88	156.0	0.12179487179487179
YSG_0019eb	85.0	25.0	3.0	0.0	84	113.0	0.24778761061946902
YSG_0019f	69.0	35.0	7.0	0.0	64	111.0	0.3783783783783784
YSG_0023aa	87.0	23.0	0.0	0.0	86	110.0	0.20909090909090908
YSG_0023ba	109.0	19.0	0.0	0.0	86	128.0	0.1484375
YSG_0023bb	105.0	25.0	0.0	0.0	76	130.0	0.19230769230769232
YSG_0025b	272.0	38.0	0.0	0.0	52	310.0	0.12258064516129032
YSG_0025ca	242.0	69.0	3.0	0.0	77	314.0	0.22929936305732485
YSG_0025cb	286.0	44.0	0.0	0.0	88	330.0	0.13333333333333333
YSG_0027b	176.0	25.0	2.0	0.0	79	203.0	0.1330049261083744
YSG_0027ca	193.0	47.0	1.0	0.0	73	241.0	0.1991701244813278
YSG_0027cb	170.0	61.0	1.0	0.0	68	232.0	0.2672413793103448
YSG_0029a	141.0	31.0	1.0	0.0	76	173.0	0.18497109826589594
YSG_0029fb	85.0	64.0	7.0	0.0	74	156.0	0.4551282051282051
YSG_0029g	167.0	33.0	1.0	0.0	74	201.0	0.1691542288557214
YSG_0030ba	86.0	25.0	0.0	0.0	80	111.0	0.22522522522522523
YSG_0031a	158.0	60.0	1.0	0.0	82	219.0	0.2785388127853881
YSG_0031ba	73.0	104.0	21.0	3.0	68	201.0	0.6368159203980099
YSG_0031bbb	148.0	60.0	2.0	0.0	56	210.0	0.29523809523809524
YSG_0032ab	72.0	5.0	0.0	0.0	70	77.0	0.06493506493506493
YSG_0032b	60.0	13.0	0.0	0.0	81	73.0	0.1780821917808219
YSG_0033b	99.0	32.0	0.0	0.0	59	131.0	0.24427480916030533
YSG_0033f	71.0	38.0	4.0	0.0	81	113.0	0.37168141592920356
YSG_0034a	158.0	31.0	1.0	0.0	78	190.0	0.16842105263157894
YSG_0035a	44.0	9.0	0.0	0.0	91	53.0	0.16981132075471697
YSG_0036a	66.0	13.0	1.0	0.0	96	80.0	0.175
YSG_0036b	66.0	13.0	0.0	0.0	90	79.0	0.16455696202531644
YSG_0036c	59.0	11.0	1.0	0.0	80	71.0	0.16901408450704225
YSG_0037a	44.0	6.0	0.0	0.0	88	50.0	0.12
YSG_0037c	74.0	20.0	0.0	0.0	70	94.0	0.2127659574468085
YSG_0038a	134.0	31.0	0.0	0.0	76	165.0	0.18787878787878787
YSG_0038b	151.0	32.0	2.0	0.0	83	185.0	0.1837837837837838
YSG_0038c	295.0	79.0	1.0	0.0	69	375.0	0.21333333333333335
