	osa_location	osbp_location	mean_divergence	median_divergence	min_divergence	max_divergence	std_divergence
YSG_1338	0.0010095580034423	0.0010355819170632	0.39056589434418526	0.39106793686757835	0.33484189667866826	0.4143934098215402	0.006706210823347233
YSG_1061	0.003028674010327	0.0020711638341264	0.48549081797373106	0.4850677751751928	0.4395551438664881	0.5393722211770057	0.010466236404119783
YSG_1213	0.0020191160068846	0.0031067457511896	0.4379766142239319	0.43685062756838944	0.4105990226350308	0.49550653904891107	0.009878417028937337
YSG_0147a	0.0040382320137693	0.0041423276682528					
YSG_0015b	0.0050477900172117	0.0051779095853161	0.27553636663463554	0.2750719023536434	0.23241375341674395	0.30519333564730455	0.007962638462776644
YSG_1532	0.0070669060240963	0.0072490734194425	0.37644605986928026	0.38042704193429866	0.21102775376763674	0.4250681574795932	0.017521001658949487
YSG_0248b	0.0080764640275387	0.0082846553365057	0.30430939896334847	0.3035333808282352	0.2433203756604994	0.326496641677444	0.009560849614913053
YSG_1411	0.009086022030981	0.0144981468388851	0.4300154224121591	0.4235539184485472	0.372142571240322	0.49377745007527424	0.013770341310820477
YSG_0404	2.547114842685026	0.0165693106730115	0.2160031309217501	0.2249713376926754	0.0009791124105977785	0.6367634583153232	0.0721744171156036
YSG_1550		0.0176048925900747	0.082361480923275	0.07985498067446861	0.04750190637885815	0.1441786023240978	0.01538158588042751
YSG_1577b		0.0207116383412644	0.028724639493903303	0.027804363461243806	0.0	0.05891279461250541	0.01081816287560644
YSG_0111a	2.5461052846815835	0.0217472202583276					
YSG_0111b	2.545095726678141	0.0227828021753908	0.21124144027114758	0.21655793077101348	0.0	0.28511511757533514	0.027793134858740888
YSG_0480	0.6037156860585198	0.0310674575118966	0.6360179330545939	0.6401614870354326	0.5141964076292198	0.725265530219583	0.017041113911873886
YSG_1724	0.6158303820998279	0.0341742032630863	0.39207331448451344	0.4529814152272559	0.0016953949010991452	0.6036536181773967	0.08556603585835579
YSG_1746	0.6178494981067126	0.0352097851801495	0.08266340766294045	0.08167949916410165	0.01776305863331302	0.14644411199218343	0.02223294752711743
YSG_0028fa	0.6198686141135973	0.037280949014276					
YSG_1503	0.6239068461273667	0.0403876947654656	0.09842980199221846	0.10992569836638214	0.0	0.2699457132313443	0.040003472100893535
YSG_0827b	0.624916404130809	0.0414232766825288	0.08243204794997525	0.07972133118582111	0.03685711314164383	0.16542022207579285	0.020003690996627282
YSG_1447b	0.627945078141136	0.0445300224337185	0.025785414126632766	0.02773279554445368	0.0005667863485313528	0.11232163145029775	0.016762765796302797
YSG_1358	0.6289546361445784	0.0455656043507817	0.31938048727859414	0.2913596530678484	0.1776126671392579	0.46512125248005537	0.04909972294666704
YSG_2106	0.6299641941480207	0.046601186267845	0.45262947025013933	0.4561999068549637	0.24049052019060294	0.4986756214920092	0.025340039828275162
YSG_2014	0.6319833101549054	0.0486723501019714	0.4218215610916952	0.4219880952178312	0.39215283485344543	0.5187472304372134	0.008832038722342575
YSG_1641	0.6329928681583477	0.0497079320190346	0.39489508582151017	0.39338742118036985	0.36125046356287216	0.45073142702497715	0.0110424157578804
YSG_1265	2.7116727972461274	0.0528146777702243	0.422156296252267	0.41993524040515695	0.3970037989916564	0.5033310567724831	0.00774520064401991
YSG_0618	0.5794862939759037	0.0590281692726036	0.4419837575576637	0.43454319220567306	0.4034081676741076	0.4975065757181154	0.013288385076736499
YSG_0619	0.580495851979346	0.0600637511896668	0.4549988617832722	0.4545331360530148	0.41835853303109705	0.5070683637385955	0.00881081180017157
YSG_0530	0.5815054099827883	0.0610993331067301	0.41712072541093326	0.4200246173438257	0.34099803156135716	0.47214305811548063	0.014172198528878945
YSG_0758	0.5825149679862307	0.0621349150237933	0.3208719995134668	0.32011895560620895	0.3118129181454868	0.3353861883529873	0.003879134763679865
YSG_0591	0.583524525989673	0.0631704969408565	0.32612247375267334	0.3511509460339799	0.1733069575710729	0.37494071407993035	0.038434624735685284
YSG_0531	0.5855436419965577	0.0642060788579197	0.33959273880685525	0.34678246280683356	0.3258394837360626	0.3549186849524131	0.006458822405790557
YSG_0532	0.5865532	0.065241660774983	0.5661778727419998	0.5657729723227419	0.5363045432316198	0.617595834150634	0.004973484253583318
YSG_0736b	0.589581874010327	0.0683484065261726	0.38228043805027	0.3834023918123882	0.34224746250479887	0.4159120735954316	0.007731082049662992
YSG_0405	0.5905914320137694	0.0693839884432358	0.5724835890654849	0.6231717355965203	0.4302015224326222	0.6308004829774261	0.0411555996856432
YSG_0090b	0.5916009900172118	0.0704195703602991	0.025271829733769256	0.01973148986722562	0.0	0.08611847584283581	0.01546740064929492
YSG_1206	0.5936201060240964	0.0724907341944255	0.5732071152238761	0.5680455095004459	0.4146869746486626	0.6578765840870143	0.018149895630461745
YSG_0027ca	0.5946296640275388	0.0735263161114887					
YSG_0896	0.5956392220309811	0.074561898028552	0.22874992472339684	0.23782920681523337	0.0	0.35188551317914757	0.06680088199576488
YSG_0860	0.5966487800344235	0.0755974799456152	0.40162821743185384	0.3972085100114622	0.37066708741447396	0.4677658571701424	0.009432408329552742
YSG_0110b	2.6521088750430293	0.0807753895309313	0.4369242368815516	0.43002139396724204	0.38300491469236586	0.511980149146725	0.012926412674972904
YSG_0773	2.926708651979346	0.0818109714479945	0.41006697501351685	0.4068015894407411	0.38877937495806325	0.451183331308626	0.007038008736772589
YSG_0070b	1.9969057308089504	0.0890600448674371	0.36279912970717987	0.3652201666193902	0.331830397230881	0.3892621585816571	0.0067660997171824925
YSG_1218	2.0029630788296044	0.0942379544527532	0.4110513618401352	0.41334688054357793	0.39114359394479936	0.49592813276516257	0.009537419002888998
YSG_0671	2.0039726368330464	0.0952735363698164	0.6689458488112424	0.67124473584644	0.6101239315947644	0.7272262101288978	0.01280199202626352
YSG_1243	2.0049821948364888	0.0963091182868796	0.48638643182209373	0.4835021477202379	0.4541388984752943	0.5203437716885362	0.006955581670818976
YSG_0156b	2.005991752839931	0.0973447002039429	0.3779268473025016	0.3756513961358421	0.3540784941669691	0.4223626140521993	0.007868379996765984
YSG_0368b	2.007001310843373	0.0983802821210061	0.4824473317463205	0.4806899060811123	0.4588943414190024	0.51810500426179	0.0072140256812806575
YSG_0629	0.7753405466437178	0.1004514459551325	0.5328107904157571	0.5254022825567377	0.5064655633612221	0.6000207186585856	0.010453035372277613
YSG_0936	1.9464278306368328	0.102522609789259	0.3184183664652635	0.3605530763099688	0.09328778976580154	0.4145621728265355	0.054830150480729284
YSG_0892	1.9474373886402756	0.1035581917063222	0.4877598475904871	0.4948715075876905	0.33684091381946984	0.6174347500903303	0.022564293067842845
YSG_1230	1.9484469466437175	0.1045937736233854	0.3015683946394231	0.30516233561610584	0.2063940375352687	0.3267098754414384	0.010517929039346452
YSG_1194	1.9524851786574875	0.1087361012916383	0.4633080692848154	0.46138922931767534	0.416378098314374	0.4983181717131284	0.008636582418562442
YSG_1609	1.9534947366609292	0.1097716832087015	0.5563548429861893	0.5784640386518165	0.47216439549223854	0.6623569901868436	0.02101379802497859
YSG_1944	1.958542526678141	0.1128784289598912	0.4268930680034023	0.4249014640407353	0.41171097487443997	0.44554600735738636	0.0052345158134613455
YSG_1193	2.8802689838209985	0.1149495927940176	0.49373770513200566	0.4868252210198717	0.4709729580765881	0.5264106453965252	0.007180623376612204
YSG_0622b	2.879259425817556	0.1159851747110809	0.3928819416115513	0.3835645860086013	0.35325370311754284	0.4491300377555907	0.013184258162289847
YSG_0595	2.8752211938037866	0.1180563385452073	0.41003882781850787	0.41391742902721934	0.3151334649534256	0.47303222013905416	0.01910999680551189
YSG_0989	2.4118340702237524	0.121163084296397	0.33053519822120286	0.3038512908322464	0.2285478310175591	0.48210219789145614	0.04218353061445973
YSG_0988	2.41082451222031	0.1232342481305234	0.6117187671300763	0.6152855040208853	0.4984655230941396	0.6537144799736977	0.009151298639632663
YSG_0604	2.409814954216868	0.1253054119646499	0.49955973821306565	0.5053529678772031	0.45386567649386544	0.5345535390234599	0.008893888880982866
YSG_0987	0.3967562953528399	0.1263409938817131	0.7867106254497169	0.7924860671768079	0.711508025268767	0.871561800047417	0.012062259162826784
YSG_0865	0.3977658533562823	0.1273765757987763	0.43259029256912973	0.4312200699298387	0.4020885347001354	0.4626639052103526	0.006033609502376356
YSG_0089a	0.7713023146299484	0.1315189034670292					
YSG_0769	0.7702927566265061	0.1325544853840924	0.4415149054548436	0.435209090846998	0.4025141248566668	0.5425277441742665	0.014607422967777485
YSG_1033	1.961571200688468	0.1335900673011556	0.5431598382984342	0.5397543218562941	0.5016639463072609	0.6068000980047841	0.007361668534578537
YSG_1647	1.9605616426850256	0.1356612311352821	0.470811674255406	0.4743252235036035	0.4359262444762807	0.5396071617843157	0.009663505826356125
YSG_1667	2.117043133218589	0.1408391407205982	0.605700814945444	0.6066648596667354	0.5223997007144945	0.636699412942752	0.009038224328793608
YSG_1543	2.558219980722892	0.1470526322229775	0.3133653994276319	0.37031635564274323	0.0768177419883873	0.48375239757118044	0.08303861123761525
YSG_1441	2.557210422719449	0.1480882141400407	0.4563442185835299	0.47399456805496115	0.29458811196145934	0.5781607511208938	0.04560395559808038
YSG_0201b	2.556200864716007	0.149123796057104	0.458028091180668	0.45826077536596815	0.3042576093287311	0.571391563821486	0.023980000128244416
YSG_0087c	2.5551913067125644	0.1501593779741672					
YSG_0194b	2.55317219070568	0.1522305418082936	0.46475625110212404	0.46196290437508103	0.36242006469602317	0.6143924664332912	0.022467545013433766
YSG_0157a	1.1428196598967295	0.1563728694765465					
YSG_0130b	0.506798117728055	0.1605151971447994	0.4326437015384485	0.42908550998920536	0.2566483191138197	0.4792324097347088	0.01549486982206955
YSG_0593	0.5088172337349398	0.1625863609789259	0.40554855785271154	0.42318727510817067	0.17696757946993966	0.4739656103535893	0.026618568677893334
YSG_1456	0.5098267917383821	0.1750133439836845	0.4271127246756763	0.43602698687622166	0.22356913208505969	0.5291098805704174	0.0203013501956283
YSG_1056	0.5108363497418245	0.1760489259007477	0.4466547116110046	0.4494289456685482	0.4152430325789441	0.4790851541353046	0.007858115781605099
YSG_1093	0.5118459077452668	0.177084507817811	0.5949667945120992	0.592345603858472	0.5753544029166793	0.627062307576068	0.003834899872742152
YSG_0745	0.9621087772805508	0.1843335812372535	0.4428185607915794	0.44673936134933256	0.3307519660990854	0.5610291728085559	0.0145771211764468
