	1	2	3	4	n	L	fraction_polymorphic
YSG_0005d	110.0	34.0	1.0	0.0	22	145.0	0.2413793103448276
YSG_0005e	134.0	18.0	1.0	0.0	36	153.0	0.12418300653594772
YSG_0005f	131.0	4.0	0.0	0.0	39	135.0	0.02962962962962963
YSG_0005ia	114.0	21.0	0.0	0.0	35	135.0	0.15555555555555556
YSG_0005iba	178.0	29.0	1.0	0.0	34	208.0	0.14423076923076922
YSG_0005ibbb	160.0	52.0	1.0	0.0	25	213.0	0.24882629107981222
YSG_0005j	127.0	41.0	5.0	0.0	27	173.0	0.2658959537572254
YSG_0009c	132.0	3.0	0.0	0.0	3	135.0	0.022222222222222223
YSG_0009fb	148.0	2.0	0.0	0.0	40	150.0	0.013333333333333334
YSG_0009fcb	108.0	31.0	0.0	0.0	43	139.0	0.22302158273381295
YSG_0010a	153.0	2.0	0.0	0.0	45	155.0	0.012903225806451613
YSG_0013a	127.0	19.0	2.0	0.0	42	148.0	0.14189189189189189
YSG_0013d	120.0	18.0	0.0	0.0	39	138.0	0.13043478260869565
YSG_0013ea	159.0	13.0	0.0	0.0	26	172.0	0.0755813953488372
YSG_0013ebb	186.0	2.0	0.0	0.0	42	188.0	0.010638297872340425
YSG_0014a	154.0	37.0	0.0	0.0	36	191.0	0.193717277486911
YSG_0014g	159.0	21.0	0.0	0.0	37	180.0	0.11666666666666667
YSG_0014hb	185.0	0.0	0.0	0.0	45	185.0	0.0
YSG_0014hc	144.0	14.0	1.0	0.0	45	159.0	0.09433962264150944
YSG_0014i	185.0	13.0	0.0	0.0	33	198.0	0.06565656565656566
YSG_0016a	151.0	11.0	0.0	0.0	25	162.0	0.06790123456790123
YSG_0016b	177.0	6.0	0.0	0.0	33	183.0	0.03278688524590164
YSG_0016c	107.0	2.0	0.0	0.0	25	109.0	0.01834862385321101
YSG_0016gb	161.0	1.0	0.0	0.0	37	162.0	0.006172839506172839
YSG_0019eb	112.0	0.0	0.0	0.0	33	112.0	0.0
