	1	2	3	4	n	L	fraction_polymorphic
YSG_0005d	625.0	41.0	0.0	0.0	79	666.0	0.06156156156156156
YSG_0005e	654.0	63.0	3.0	0.0	81	720.0	0.09166666666666666
YSG_0005f	597.0	51.0	0.0	0.0	88	648.0	0.0787037037037037
YSG_0005ia	598.0	50.0	0.0	0.0	92	648.0	0.07716049382716049
YSG_0005iba	944.0	95.0	2.0	0.0	81	1041.0	0.09317963496637849
YSG_0005ibbb	997.0	91.0	4.0	0.0	67	1092.0	0.08699633699633699
YSG_0005j	832.0	128.0	6.0	0.0	61	966.0	0.13871635610766045
YSG_0009c	764.0	22.0	0.0	0.0	78	786.0	0.027989821882951654
YSG_0009fb	679.0	53.0	3.0	0.0	78	735.0	0.0761904761904762
YSG_0009fcb	736.0	59.0	0.0	0.0	83	795.0	0.07421383647798742
YSG_0010a	692.0	77.0	5.0	0.0	81	774.0	0.10594315245478036
YSG_0013a	729.0	77.0	1.0	0.0	91	807.0	0.09665427509293681
YSG_0013d	786.0	36.0	0.0	0.0	81	822.0	0.043795620437956206
YSG_0013ea	737.0	79.0	0.0	0.0	59	816.0	0.09681372549019608
YSG_0013ebb	809.0	116.0	7.0	1.0	81	933.0	0.13290460878885316
YSG_0014a	811.0	120.0	2.0	0.0	60	933.0	0.1307609860664523
YSG_0014g	884.0	78.0	1.0	0.0	68	963.0	0.08203530633437175
YSG_0014hb	941.0	39.0	1.0	0.0	71	981.0	0.040774719673802244
YSG_0014hc	759.0	74.0	1.0	0.0	64	834.0	0.08992805755395683
YSG_0014i	910.0	63.0	1.0	1.0	78	975.0	0.06666666666666667
YSG_0016a	722.0	39.0	1.0	0.0	67	762.0	0.05249343832020997
YSG_0016b	806.0	67.0	0.0	0.0	60	873.0	0.07674684994272624
YSG_0016c	481.0	52.0	1.0	0.0	66	534.0	0.09925093632958802
YSG_0016gb	790.0	44.0	0.0	0.0	88	834.0	0.05275779376498801
YSG_0019eb	567.0	60.0	3.0	0.0	84	630.0	0.1
YSG_0019f	467.0	91.0	9.0	0.0	64	567.0	0.1763668430335097
YSG_0023aa	635.0	45.0	1.0	0.0	86	681.0	0.06754772393538913
YSG_0023ba	639.0	45.0	0.0	0.0	86	684.0	0.06578947368421052
YSG_0023bb	635.0	52.0	0.0	0.0	76	687.0	0.07569141193595343
YSG_0025b	1521.0	87.0	0.0	0.0	52	1608.0	0.054104477611940295
YSG_0025ca	1526.0	152.0	5.0	0.0	77	1683.0	0.0932857991681521
YSG_0025cb	1666.0	95.0	0.0	0.0	88	1761.0	0.05394662123793299
YSG_0027b	1014.0	51.0	3.0	0.0	79	1068.0	0.05056179775280899
YSG_0027ca	1081.0	91.0	1.0	0.0	73	1173.0	0.0784313725490196
YSG_0027cb	1091.0	101.0	2.0	0.0	68	1194.0	0.08626465661641541
YSG_0029a	684.0	82.0	5.0	0.0	76	771.0	0.11284046692607004
YSG_0029fb	677.0	140.0	8.0	0.0	74	825.0	0.17939393939393938
YSG_0029g	912.0	82.0	2.0	0.0	74	996.0	0.08433734939759036
YSG_0030ba	407.0	52.0	0.0	0.0	80	459.0	0.11328976034858387
YSG_0031a	1110.0	155.0	1.0	0.0	82	1266.0	0.12322274881516587
YSG_0031ba	874.0	294.0	32.0	3.0	68	1203.0	0.2734829592684954
YSG_0031bbb	985.0	137.0	3.0	0.0	56	1125.0	0.12444444444444444
YSG_0032ab	446.0	19.0	0.0	0.0	70	465.0	0.04086021505376344
YSG_0032b	394.0	38.0	0.0	0.0	81	432.0	0.08796296296296297
YSG_0033b	677.0	49.0	0.0	0.0	59	726.0	0.0674931129476584
YSG_0033f	466.0	171.0	7.0	1.0	81	645.0	0.2775193798449612
YSG_0034a	1007.0	48.0	1.0	0.0	78	1056.0	0.04640151515151515
YSG_0035a	277.0	20.0	0.0	0.0	91	297.0	0.06734006734006734
YSG_0036a	431.0	39.0	1.0	0.0	96	471.0	0.08492569002123142
YSG_0036b	423.0	33.0	0.0	0.0	90	456.0	0.07236842105263158
YSG_0036c	438.0	29.0	1.0	0.0	80	468.0	0.0641025641025641
YSG_0037a	279.0	15.0	0.0	0.0	88	294.0	0.05102040816326531
YSG_0037c	449.0	34.0	0.0	0.0	70	483.0	0.07039337474120083
YSG_0038a	691.0	56.0	0.0	0.0	76	747.0	0.0749665327978581
YSG_0038b	766.0	56.0	3.0	0.0	83	825.0	0.07151515151515152
YSG_0038c	1620.0	164.0	1.0	0.0	69	1785.0	0.09243697478991597
YSG_0040d	850.0	64.0	1.0	0.0	69	915.0	0.07103825136612021
YSG_0041a	894.0	139.0	5.0	0.0	55	1038.0	0.13872832369942195
YSG_0041bb	842.0	97.0	0.0	0.0	72	939.0	0.1033013844515442
